Слово;Частота;Частота(в %)
the;41;6.6129
in;25;4.03226
English;23;3.70968
to;23;3.70968
and;22;3.54839
is;16;2.58065
of;14;2.25806
site;11;1.77419
you;11;1.77419
on;10;1.6129
Russian;9;1.45161
are;9;1.45161
for;9;1.45161
materials;7;1.12903
that;7;1.12903
as;6;0.967742
column;6;0.967742
not;6;0.967742
text;6;0.967742
translation;6;0.967742
use;6;0.967742
will;6;0.967742
a;5;0.806452
it;5;0.806452
or;5;0.806452
our;5;0.806452
phrases;5;0.806452
search;5;0.806452
this;5;0.806452
your;5;0.806452
It;4;0.645161
The;4;0.645161
help;4;0.645161
language;4;0.645161
word;4;0.645161
words;4;0.645161
American;3;0.483871
This;3;0.483871
We;3;0.483871
be;3;0.483871
better;3;0.483871
exercises;3;0.483871
idioms;3;0.483871
need;3;0.483871
options;3;0.483871
same;3;0.483871
standard;3;0.483871
studying;3;0.483871
useful;3;0.483871
we;3;0.483871
with;3;0.483871
But;2;0.322581
Useful;2;0.322581
can;2;0.322581
columns;2;0.322581
do;2;0.322581
face;2;0.322581
find;2;0.322581
good;2;0.322581
grammar;2;0.322581
have;2;0.322581
its;2;0.322581
knowledge;2;0.322581
letters;2;0.322581
new;2;0.322581
one;2;0.322581
parallel;2;0.322581
phrase;2;0.322581
pronunciation;2;0.322581
read;2;0.322581
recommend;2;0.322581
right;2;0.322581
study;2;0.322581
those;2;0.322581
two;2;0.322581
usage;2;0.322581
used;2;0.322581
which;2;0.322581
without;2;0.322581
Adequate;1;0.16129
And;1;0.16129
Bear;1;0.16129
British;1;0.16129
Clear;1;0.16129
Differences;1;0.16129
Do;1;0.16129
EFL;1;0.16129
ESL;1;0.16129
Educational;1;0.16129
Examples;1;0.16129
Generally;1;0.16129
Good;1;0.16129
Guest;1;0.16129
Hello;1;0.16129
JavaScript;1;0.16129
Many;1;0.16129
Phonetic;1;0.16129
Read;1;0.16129
Simple;1;0.16129
Sufficient;1;0.16129
There;1;0.16129
They;1;0.16129
Try;1;0.16129
Various;1;0.16129
Welcome;1;0.16129
You;1;0.16129
Your;1;0.16129
able;1;0.16129
actively;1;0.16129
add;1;0.16129
again;1;0.16129
aim;1;0.16129
answer;1;0.16129
appropriate;1;0.16129
articles;1;0.16129
at;1;0.16129
based;1;0.16129
basis;1;0.16129
between;1;0.16129
browser;1;0.16129
build;1;0.16129
but;1;0.16129
by;1;0.16129
cannot;1;0.16129
capital;1;0.16129
case;1;0.16129
check;1;0.16129
choose;1;0.16129
class;1;0.16129
close;1;0.16129
collected;1;0.16129
commonly;1;0.16129
communicate;1;0.16129
communication;1;0.16129
comparing;1;0.16129
components;1;0.16129
consists;1;0.16129
constructions;1;0.16129
conversational;1;0.16129
corner;1;0.16129
correct;1;0.16129
describe;1;0.16129
described;1;0.16129
designed;1;0.16129
different;1;0.16129
difficult;1;0.16129
distance;1;0.16129
easy;1;0.16129
effectively;1;0.16129
enabled;1;0.16129
enter;1;0.16129
essential;1;0.16129
etc;1;0.16129
even;1;0.16129
exact;1;0.16129
explain;1;0.16129
explained;1;0.16129
expressions;1;0.16129
firm;1;0.16129
follow;1;0.16129
following;1;0.16129
foreign;1;0.16129
form;1;0.16129
formal;1;0.16129
foundation;1;0.16129
four;1;0.16129
general;1;0.16129
give;1;0.16129
given;1;0.16129
guiding;1;0.16129
hand;1;0.16129
if;1;0.16129
important;1;0.16129
keyword;1;0.16129
learn;1;0.16129
left;1;0.16129
letter;1;0.16129
look;1;0.16129
looking;1;0.16129
looks;1;0.16129
lowercase;1;0.16129
luck;1;0.16129
make;1;0.16129
many;1;0.16129
master;1;0.16129
matches;1;0.16129
method;1;0.16129
mind;1;0.16129
more;1;0.16129
most;1;0.16129
much;1;0.16129
norms;1;0.16129
now;1;0.16129
off;1;0.16129
offer;1;0.16129
offered;1;0.16129
often;1;0.16129
only;1;0.16129
order;1;0.16129
out;1;0.16129
pages;1;0.16129
part;1;0.16129
phrasal;1;0.16129
please;1;0.16129
possible;1;0.16129
principle;1;0.16129
provide;1;0.16129
purpose;1;0.16129
quickly;1;0.16129
real;1;0.16129
results;1;0.16129
return;1;0.16129
see;1;0.16129
sensitive;1;0.16129
serve;1;0.16129
set;1;0.16129
short;1;0.16129
should;1;0.16129
simpler;1;0.16129
situations;1;0.16129
skills;1;0.16129
small;1;0.16129
speech;1;0.16129
spelling;1;0.16129
stress;1;0.16129
students;1;0.16129
substitute;1;0.16129
such;1;0.16129
switch;1;0.16129
synonyms;1;0.16129
task;1;0.16129
teachers;1;0.16129
textbook;1;0.16129
them;1;0.16129
tools;1;0.16129
treats;1;0.16129
try;1;0.16129
typed;1;0.16129
typical;1;0.16129
understand;1;0.16129
up;1;0.16129
upper;1;0.16129
uppercase;1;0.16129
variant;1;0.16129
various;1;0.16129
verbs;1;0.16129
very;1;0.16129
vocabulary;1;0.16129
website;1;0.16129
what;1;0.16129
where;1;0.16129
who;1;0.16129
write;1;0.16129
writing;1;0.16129
yourself;1;0.16129
